Year,block,BBS_route,Mayponds,logMayponds,ccsma1fi,ccsmb1,gfdla1fi,gfdlb1,hadcm3a1fi,hadcm3b1,pcma1fi,pcmb1,,logccsma1fi,logccsmb1,loggfdla1fi,loggfdlb1,loghadcm3a1fi,loghadcm3b1,logpcma1fi,logpcmb1,stopAMCO,birdAMCO,logstpAMCO,logbrdAMCO,stopSORA,birdSORA,logstpSORA,logbrdSORA,stopAMBI,birdAMBI,logstpAMBI,logbrdAMBI,stopBLTE,birdBLTE,logstpBLTE,logbrdBLTE,stopPBGR,birdPBGR,logstpPBGR,logbrdPBGR,stopNOPI,birdNOPI,logstpNOPI,logbrdNOPI
1975,2,x,3624,3.559188189,2135,1064,1317,1274,1478,1422,2013,2218,1615.125,3.329397879,3.026941628,3.119585775,3.105169428,3.169674434,3.152899596,3.303843775,3.345961542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976,2,x,3407,3.532372134,1590,1564,1619,1610,2176,2163,1110,1009,1605.125,3.201397124,3.194236749,3.209246849,3.206825876,3.337658891,3.335056519,3.045322979,3.003891166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1977,2,x,3619,3.558588583,280,1034,1587,1588,1493,1429,678,533,1077.75,2.447158031,3.014520539,3.200576927,3.200850498,3.174059808,3.155032229,2.831229694,2.726727209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1978,2,x,4385,3.641969598,1748,2199,1327,1319,1870,1783,1460,1465,1646.375,3.242541428,3.342225229,3.122870923,3.120244796,3.271841607,3.251151343,3.164352856,3.165837625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,2,x,4365,3.639984248,860,2032,1156,1156,1978,1904,1763,1893,1592.75,2.934498451,3.307923704,3.062957834,3.062957834,3.296226287,3.279666944,3.246252312,3.277150614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,2,x,3056,3.48515335,1786,2148,2058,2066,1733,1710,2247,2607,2044.375,3.251881455,3.332034277,3.31344537,3.315130317,3.238798563,3.23299611,3.351603072,3.416141031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,2,x,2185,3.339451441,752,1373,1549,1553,1771,1728,1249,1326,1412.625,2.876217841,3.137670537,3.190051418,3.191171456,3.248218561,3.237543738,3.096562438,3.122543524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982,2,x,4423,3.645716939,1591,1369,1656,1705,1166,1147,1764,1821,1527.375,3.20167018,3.136403448,3.219060332,3.231724383,3.06669855,3.059563418,3.246498581,3.260309946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1983,2,x,3899,3.590953235,1138,911,1846,1825,2335,2174,1515,1646,1673.75,3.056142262,2.959518377,3.266231697,3.261262869,3.368286885,3.33725954,3.180412633,3.216429831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984,2,x,3342,3.524006446,2770,1772,1135,1136,1493,1439,1934,2115,1724.25,3.442479769,3.248463718,3.054995862,3.055378331,3.174059808,3.158060794,3.28645647,3.325310372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1985,2,x,3060,3.485721426,1357,817,689,681,984,924,1954,1797,1150.375,3.132579848,2.912222057,2.838219222,2.833147112,2.992995098,2.965671971,3.290924559,3.254548077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
